user_id, review_id, listing_id
234,712,8557
21,387,2676
344,138,8200
464,549,6821
791,970,867
926,395,753
27,118,9713
967,585,8966
873,247,6841
55,147,5156
743,671,3629
627,454,4352
13,219,3660
821,452,4071
541,567,2938
529,738,3286
701,972,4058
246,114,8665
446,511,8249
157,572,5699
48,190,6135
286,67,4635
265,468,3208
258,985,1150
673,826,652
631,990,4510
844,132,7137
35,925,4975
323,26,174
606,968,754
884,85,8923
668,594,3392
31,617,8312
855,660,6253
114,924,6159
385,519,5204
166,129,435
475,991,5723
378,426,6577
659,476,7651
957,747,9817
733,19,4721
301,787,9880
919,718,8178
206,707,2038
422,274,250
17,71,8884
466,486,3261
930,929,6342
509,12,3137
225,470,2689
553,159,7429
10,904,8317
460,228,6270
975,190,4468
571,570,2736
981,560,4327
507,276,369
667,982,7944
978,14,9465
411,158,4954
265,739,2918
885,780,2021
369,671,1201
720,873,5482
677,193,7373
529,223,4758
896,659,9659
511,515,7248
839,320,1156
253,752,2774
855,375,8381
33,4,2655
985,605,3963
945,948,1073
635,788,2133
150,951,1326
205,446,2660
913,171,7558
413,844,3529
952,633,7707
716,848,9074
19,745,6051
15,496,9137
192,309,6967
994,325,915
342,912,4597
802,163,1230
29,666,9023
891,775,5739
349,971,73
659,109,4792
134,181,5525
845,87,3405
36,209,1981
950,118,23
213,147,2954
848,431,8001
753,19,4110
56,526,7004
254,8,9764
88,449,8108
245,285,8072
520,304,3765
464,844,8172
505,464,369
749,396,8173
890,261,711
714,785,9336
966,542,14
604,61,7735
332,230,9329
549,2,9256
69,811,2427
730,241,1065
843,225,2487
941,457,9639
963,684,9793
818,239,285
899,82,27
937,840,4435
729,703,5578
919,512,6300
369,743,5379
79,8,5913
396,710,3860
397,330,9564
200,786,6191
252,655,3167
765,650,2057
366,261,7779
293,911,9997
560,111,3534
251,710,4177
695,820,2980
704,287,7227
541,718,3623
754,693,6328
302,253,1388
414,869,397
767,738,5029
324,626,9769
284,825,1417
366,665,3865
811,160,8371
110,88,5824
812,899,9653
405,6,9387
20,403,2329
89,714,4569
851,492,5200
452,141,9181
663,421,5755
974,585,1382
39,844,7180
458,490,557
53,462,6189
929,346,3771
140,11,3518
829,860,8901
803,564,1316
429,644,639
513,872,1964
673,615,40
284,204,1901
911,288,2567
948,221,9402
933,448,9767
319,684,255
782,870,6669
45,82,5412
767,507,445
218,638,8017
528,478,6519
822,981,8200
609,916,9127
511,924,8033
133,486,9815
906,546,9103
253,617,4674
110,351,2388
590,534,7516
698,601,9969
456,858,4202
351,80,8492
50,154,7650
739,897,6583
892,946,6088
111,29,1151
529,250,3965
347,594,2659
783,547,7340
699,687,5442
492,83,8014
256,130,3740
12,634,5288
388,357,6706
928,669,6137
480,548,5951
348,542,708
557,410,6203
763,892,1785
794,177,4469
202,696,3061
679,351,1367
922,427,4833
573,439,2380
988,489,3309
719,700,4859
808,53,7951
735,247,1679
830,843,5658
434,78,6044
693,262,8248
745,322,6933
117,963,5667
79,41,1736
21,763,4173
404,583,4408
815,12,2249
112,273,5828
641,248,627
233,71,7033
436,20,408
105,624,8961
466,392,213
920,132,6561
699,240,5648
530,944,428
378,266,7232
812,407,8731
420,729,3519
895,146,547
599,659,7144
724,549,1957
410,671,4868
449,363,6525
242,458,6915
463,438,4516
735,174,8702
250,70,6338
997,947,9556
183,913,2727
244,32,7075
953,935,7288
52,369,7800
545,813,524
428,907,4071
160,194,7930
489,665,4340
752,25,1951
948,993,7869
327,117,5492
705,308,6891
4,624,8833
865,971,9575
819,135,3679
503,77,6454
652,491,5222
520,755,9652
331,976,5871
471,622,6426
359,187,2899
407,513,7606
448,57,4943
862,98,6994
639,452,1021
517,131,355
531,169,922
2,625,9120
992,791,1510
500,127,7651
196,816,5440
694,884,9653
505,662,2737
869,951,2796
868,812,5419
324,593,1420
792,648,455
592,948,638
972,971,2868
364,830,366
159,899,2556
147,177,7651
860,260,7162
246,280,9209
653,721,1491
897,88,6552
351,86,3939
857,762,3622
861,717,4818
288,962,7677
722,594,4603
48,254,2272
926,56,4405
194,426,1805
137,76,2171
571,200,375
983,783,5482
884,619,3834
9,487,3891
53,41,9778
150,315,7322
287,896,954
795,616,850
244,622,6635
874,618,1501
279,165,9306
352,36,1794
241,413,5728
338,179,3111
703,457,7037
353,918,6639
212,214,6535
489,728,1312
900,726,8436
480,943,97
867,615,6799
612,175,5338
85,844,6269
172,504,6388
778,352,6747
477,559,8885
595,270,2355
96,236,8324
484,162,5162
682,24,6331
634,739,7578
573,253,6111
772,635,1927
310,968,3176
727,658,5418
52,163,2168
208,507,9633
415,274,4899
349,940,9003
594,455,751
680,690,976
563,268,3012
692,639,6157
217,294,4575
667,469,3931
766,292,2175
872,43,5167
616,256,3533
227,494,1899
645,835,2212
620,974,9233
40,93,8713
673,968,4917
708,477,4394
214,80,8420
687,534,9816
832,727,7698
171,313,937
955,36,8239
201,534,5966
129,659,8719
53,392,5258
385,75,4743
195,354,4215
396,427,7475
818,7,7079
8,41,9018
514,616,3071
690,113,2646
319,517,4512
422,268,8630
44,580,2255
10,315,7083
994,492,2091
226,832,2151
759,579,9138
275,847,2901
420,278,7435
44,551,1648
739,480,2640
16,935,411
382,132,4717
251,384,4512
238,614,2268
584,478,7861
467,964,7657
686,677,180
286,59,8450
47,464,4062
473,683,9713
459,275,2978
679,370,5537
418,674,7102
376,613,2930
792,905,8483
954,259,2169
121,171,747
608,267,4143
528,712,4632
386,997,4642
211,518,6683
279,208,9766
539,94,6546
172,673,5136
589,132,3714
992,289,7815
133,676,8242
823,655,1148
976,872,7477
677,890,6587
568,417,1534
900,186,6624
279,833,4825
187,110,7829
373,389,3356
373,320,4789
249,688,2221
449,574,6461
206,81,9575
532,314,2904
487,514,6783
113,287,6947
691,525,813
573,12,4969
122,219,3528
716,539,3121
507,760,2878
358,663,1756
619,759,3640
430,602,9437
609,830,2596
121,465,5102
500,61,113
159,736,2519
79,501,6832
460,297,2222
853,662,9616
88,140,6438
77,871,5834
988,936,1677
94,545,4166
908,244,3548
143,327,1689
428,796,9650
221,36,5568
631,523,2109
496,72,2178
525,910,194
345,668,3606
919,96,9805
993,114,8643
244,688,440
682,536,8656
801,962,7938
592,674,3431
392,203,1295
385,990,493
264,284,2556
754,88,8047
949,393,1482
830,152,5931
688,636,6453
580,702,3686
359,526,7033
338,1000,9693
345,891,4824
146,369,6990
188,359,3042
378,927,8589
828,777,8817
687,538,1224
779,475,4389
217,346,7816
899,72,6126
468,975,4754
4,423,9990
369,217,101
451,231,3813
568,573,8901
279,859,3539
493,864,1768
882,941,3182
155,203,2437
445,873,5886
438,121,9430
420,937,3520
217,150,3331
722,583,6690
82,608,9598
829,936,6011
678,311,5567
744,88,6603
163,974,3667
713,84,6056
194,611,2502
113,942,5889
657,247,5754
460,381,5333
343,196,5212
771,815,3669
253,227,3283
557,302,1543
62,21,5538
842,622,2527
419,70,8764
395,81,3805
442,606,9264
334,356,4688
167,902,4485
468,809,5829
814,777,7968
235,524,7399
946,773,1075
63,342,362
729,999,55
79,385,7664
598,322,126
655,575,7966
708,305,8944
556,834,7798
912,415,867
385,353,9552
535,79,8904
499,712,1272
944,873,1992
863,255,4417
375,840,9109
834,913,7472
319,138,5233
687,304,141
136,657,3594
863,38,656
778,634,1654
189,91,4117
742,420,7807
129,921,3999
705,468,9852
838,17,5563
865,619,5844
24,357,1543
229,528,3806
472,898,5962
479,689,1757
428,516,168
737,694,591
13,78,346
899,623,9886
974,898,9881
765,560,3092
94,203,4697
553,302,7936
264,837,6211
91,110,623
573,868,673
824,479,7277
766,154,8296
241,687,4099
92,983,8663
32,82,4058
957,143,3586
774,600,9049
959,680,7738
867,128,8911
937,850,5884
852,127,1409
721,76,657
763,549,7382
992,510,2140
18,445,6888
147,330,5100
166,784,3765
247,156,8016
845,93,3718
359,260,8970
230,164,8159
388,526,4500
459,200,466
197,932,7402
593,786,1151
235,449,3909
279,7,7139
665,596,2234
357,948,7867
265,28,1448
973,765,4247
622,289,5039
955,70,7572
984,5,5705
489,677,3972
825,470,6335
539,815,5863
426,985,6711
159,11,54
279,107,794
287,11,7098
330,806,3586
76,375,9502
844,389,1015
767,52,584
285,214,3395
911,755,2125
378,919,3634
909,944,6243
811,808,4196
197,908,6517
352,571,2894
580,227,5766
537,366,8548
227,892,6039
698,639,9837
218,640,4951
93,992,7372
121,981,7096
285,855,8441
4,361,1129
405,358,581
516,201,4333
217,499,315
622,989,8420
323,86,4780
879,68,6149
262,237,3390
774,348,936
483,647,7584
799,33,1576
390,385,9256
742,734,2768
103,276,8974
730,118,9031
351,85,3559
536,990,3823
132,684,6598
937,953,6033
469,364,7589
740,818,60
453,942,9580
637,842,11
204,254,9394
65,145,2855
944,290,6631
818,133,2201
166,748,1808
480,581,4325
816,657,5945
211,175,9816
181,408,3629
68,431,2185
723,656,1095
329,789,7057
874,276,526
701,618,9079
191,905,6786
459,2,680
806,561,2719
982,833,9394
543,486,8283
630,229,6692
550,356,3897
696,94,9000
319,715,2463
421,253,2745
34,635,9647
713,538,324
824,224,3911
216,260,4213
642,360,7996
303,518,1704
478,298,8202
45,110,9507
805,448,736
583,394,5978
211,179,7041
543,604,1033
681,567,9770
340,222,2718
232,957,6296
547,877,9077
4,651,7437
855,204,3281
975,411,8142
646,538,8864
963,723,8038
804,791,9702
299,523,9632
371,569,7175
304,409,1515
629,498,6364
66,749,2166
582,738,1027
561,71,9705
895,818,5981
108,482,4489
979,996,4038
11,502,6714
458,557,4613
58,514,107
20,342,2071
74,610,5644
745,486,2994
698,868,4672
593,328,2045
683,195,759
516,846,3364
489,777,3018
603,706,9852
382,106,5582
69,877,7089
235,111,1393
824,286,6860
878,133,2140
88,433,6849
942,345,2582
114,575,8409
727,701,2878
281,956,8874
99,296,6203
239,334,3670
562,168,1539
637,372,2920
319,600,1365
678,765,7585
957,39,9643
545,893,2213
870,144,3823
619,83,1001
63,440,8568
795,637,7050
90,568,1691
493,67,195
724,703,8286
581,357,5421
976,967,2922
628,883,89
160,998,7829
344,957,2170
429,28,671
12,699,2789
169,489,2766
301,379,5246
705,840,5355
158,704,4992
885,774,3342
471,751,6330
840,251,4575
311,563,1391
925,781,8095
140,201,5738
421,46,6134
779,210,134
718,118,6305
760,917,8293
92,574,8046
361,790,8912
273,299,9694
534,648,4940
831,840,7130
959,8,4850
71,788,2794
690,779,8388
274,253,3666
849,182,3770
270,122,5490
551,366,9041
280,273,8987
227,843,5040
297,776,2024
364,891,8631
856,889,6051
607,88,3231
385,720,1105
843,173,9731
883,249,5174
675,295,786
448,577,5876
17,764,2778
885,634,4171
513,340,9362
129,945,2329
75,944,3869
801,332,539
200,973,7299
442,767,3187
730,993,4104
262,37,1964
372,960,8857
581,835,5601
123,968,3237
105,40,1630
427,347,4142
161,924,627
731,290,8719
706,592,8710
685,147,294
45,373,8038
828,293,3723
421,260,4277
799,310,2360
143,341,9152
276,790,4537
887,347,3162
422,439,1655
996,541,9618
74,722,5154
671,478,9744
586,521,9472
568,665,7177
472,441,2346
422,334,206
424,202,2011
713,50,4769
211,885,3468
440,69,8562
299,407,6104
315,23,105
643,799,5549
711,567,2391
177,797,2253
383,184,2535
109,693,5555
548,39,6387
384,553,6784
540,157,696
736,821,1318
81,95,1062
35,850,2675
395,393,298
731,235,8524
821,420,4061
999,530,9165
25,106,2088
38,577,8954
944,232,5269
75,21,5189
320,407,4668
362,328,8255
713,421,8565
65,200,2362
844,191,3119
396,825,4832
677,973,3753
287,230,3990
603,963,4659
946,341,6861
517,285,8346
365,828,5745
831,930,3394
394,731,5662
332,16,5873
375,103,1767
449,809,2970
599,592,899
756,719,7330
113,324,1158
804,972,684
985,465,5801
688,501,2576
469,416,8199
